audio_00000|Và mọi chuyện thì chưa dừng lại ở đó.|Và mọi chuyện thì chưa dừng lại ở đó.
audio_00001|Tuy nhiên, quá trình này không diễn ra lâu.|Tuy nhiên, quá trình này không diễn ra lâu.
audio_00002|Đây là những chiếc kẹn chim nước được làm bằng sứ.|Đây là những chiếc kẹn chim nước được làm bằng sứ.
audio_00003|Chứ đó. Đâu ra?|Chứ đó. Đâu ra?
audio_00004|Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.|Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.
audio_00005|Bản báo cáo miêu tả tâm trạng.|Bản báo cáo miêu tả tâm trạng.
audio_00006|Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.|Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.
audio_00007|Thì kết thúc này quen lắm.|Thì kết thúc này quen lắm.
audio_00008|Cậu có nhìn thấy không?|Cậu có nhìn thấy không?
audio_00009|Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.|Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.
audio_00010|Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy quân sự tỉnh.|Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy quân sự tỉnh.
audio_00011|Trong bầu không khí náo nhiệt của giảp hát, hùng thủ rút khẩu súng ra, ông Derringer 44 ly, dí sát đầu tổng thống mà ná đạn.|Trong bầu không khí náo nhiệt của giảp hát, hùng thủ rút khẩu súng ra, ông Derringer 44 ly, dí sát đầu tổng thống mà ná đạn.
audio_00012|Một, một ngày hãy làm tốt vài điều mình muốn làm.|Một, một ngày hãy làm tốt vài điều mình muốn làm.
audio_00013|Kế hoạch là vậy nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.|Kế hoạch là vậy nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.
audio_00014|Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.|Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.
audio_00015|Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.|Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.
audio_00016|Ám sát kẻ thù của quốc gia.|Ám sát kẻ thù của quốc gia.
audio_00017|Xếp trồi lên và gợi ý bạn.|Xếp trồi lên và gợi ý bạn.
audio_00018|Những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.|Những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.
audio_00019|Hãy gạt bỏ chúng qua hẳn một bên, rồi chuẩn bị vun đắp thói quen sống trong những ngăn tàu đóng chặt kín.|Hãy gạt bỏ chúng qua hẳn một bên, rồi chuẩn bị vun đắp thói quen sống trong những ngăn tàu đóng chặt kín.
audio_00020|Mà bước chân bối rối.|Mà bước chân bối rối.
audio_00021|Bảo đi chơi cũng không.|Bảo đi chơi cũng không.
audio_00022|Đầu tiên là do đồng yên liên tục mất giá trong năm 2023, làm xói mòn lợi nhuận xuất khẩu.|Đầu tiên là do đồng yên liên tục mất giá trong năm 2023, làm xói mòn lợi nhuận xuất khẩu.
audio_00023|Năm 2015, Việt Nam chọn hệ thống tiên lửa Spider làm hệ thống tiên lửa phòng không tầm trung mới.|Năm 2015, Việt Nam chọn hệ thống tiên lửa Spider làm hệ thống tiên lửa phòng không tầm trung mới.
audio_00024|Trong những năm gần đây, Starbucks đã tăng giá các sản phẩm của mình để đối phó với lãng phát và chi phí lao động tăng cao.|Trong những năm gần đây, Starbucks đã tăng giá các sản phẩm của mình để đối phó với lãng phát và chi phí lao động tăng cao.
audio_00025|Như vậy, thật ra sát xuất để ô tô ở cửa 1 và cửa 3 không phải là bằng nhau.|Như vậy, thật ra sát xuất để ô tô ở cửa 1 và cửa 3 không phải là bằng nhau.
audio_00026|Kiểm soát cảm xúc thực chất là một quá trình đánh giá lại bản thân, để tìm thấy tự do, thoát khỏi sự cuốn hút của chính bản ngã.|Kiểm soát cảm xúc thực chất là một quá trình đánh giá lại bản thân, để tìm thấy tự do, thoát khỏi sự cuốn hút của chính bản ngã.
audio_00027|Thứ hai, trong khẩu vũ khí có nòng còn bảy viên.|Thứ hai, trong khẩu vũ khí có nòng còn bảy viên.
